disposition,site,contractor,folder,lat,lon,in_128,in_111,list111_site,list111_district,list111_status,distance_m,in_mwater,mwater_code,mwater_dist_m,evidence
new,TSIKOLAKY II,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.337498,45.223528,yes,no,,,,25535.8,no,,17114.0,no 111-list site within 250 m; nearest 'Vohitsosy' at 25536 m
new,VOHIMANOHY,EAE RAZAFY I,EAE RAZAFY I (29 +1 INCONNU),-24.682278,45.20925,yes,no,,,,10206.9,yes,1137612119,180.3,no 111-list site within 250 m; nearest 'Vohibola' at 10207 m
new,ANDARO BETSILEO,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE CONSTRUCTION 07),-23.797496,45.696821,yes,no,,,,286.5,no,,4418.5,no 111-list site within 250 m; nearest 'Andaro Betsileo' at 286 m
new,ANDRANOMANESIKY,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE CONSTRUCTION 07),-22.762646,45.83413,yes,no,,,,443.4,no,,50464.5,no 111-list site within 250 m; nearest 'Andranomanesiky_FKT SAKAMAHILY _C/R JANGANY' at 443 m
new,ANDRIABE HAUT,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE CONSTRUCTION 07),-23.760228,45.685995,yes,no,,,,326.2,no,,8682.4,no 111-list site within 250 m; nearest 'Andriabe Haut' at 326 m
new,BERAKETA ANDAKA,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE CONSTRUCTION 07),-23.463998,45.844098,yes,no,,,,642.9,no,,641.3,no 111-list site within 250 m; nearest 'Beraketa Andaka' at 643 m
new,MILOMBOKE,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-22.366019,43.732182,yes,no,,,,6004.0,no,,82434.5,no 111-list site within 250 m; nearest 'Analasoa' at 6004 m
new,NAMABOHA***,SNC,SNC (MUS COMMUNAUTAIRE ETUDE 16),-22.458131,43.673724,yes,no,,,,3782.6,no,,89902.6,no 111-list site within 250 m; nearest 'Analamisampy Epp' at 3783 m
retired,ANKILIMARY CENTRE,2ADH,,-23.433281,44.8775,no,yes,ANKILIMARY CENTRE,BENENITRA,Construction,6610.6,no,,71275.7,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANTANILE' at 6611 m"
retired,Andragnanivo Centre,2ADH,,-25.049558,45.594567,no,yes,Andragnanivo Centre,Antanimora Atsimo,Construction,410.0,no,,15619.2,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANDRAGNANIVO' at 410 m"
retired,Antsakoamiary Horombe,2ADH,,-24.644364,45.709,no,yes,Antsakoamiary Horombe,Antanimora Atsimo,Construction,4871.3,no,,16482.0,"in the 111 list, absent from Coddy's 128-site managed set; nearest 128 point 'ANKILIMILOPAKA' at 4871 m"
