water_point,site,period_year,photo_date,image_id,days_not_operational,days_illegible,confidence,validated
833032647,Maroantsetra,2026,2026-06-11,140c3b3a6cb7497888fee909b38d7d1c,11,4,0.181,NO
833032654,Maroantsetra,2026,2026-07-22,6ab44bf59acf4bc6884249978cb346df,3,5,0.313,NO
833032661,Maroantsetra,2026,2026-06-11,88be5707e50c474cb026ed71aa2979ca,14,6,0.211,NO
833032685,unmapped,2026,2026-07-23,5e719d155a2d47ea950138578ff5f802,1,6,0.055,NO
833032702,Maroantsetra,2026,2026-06-09,e0c4a514d1754a219e5bde2e5ef52e84,4,6,0.340,NO
833032771,Maroantsetra,2025,2025-12-06,6c4d123a01bc4834abc614b4cc51cfa5,11,4,0.234,NO
833032771,Maroantsetra,2026,2026-06-06,fe4cc4aeb222496687dcc3a36700d459,8,7,0.071,NO
833032812,Maroantsetra,2026,2026-07-19,b165e18c91bd42a18ee7dabf9ee2582c,12,35,0.211,NO
833032836,Maroantsetra,2026,2026-07-19,5c6b7329d7104592843343c0eb4e29e6,23,77,0.165,NO
833032946,Maroantsetra,2026,2026-06-10,f1318c922e4c4d8c9265570a160f365a,17,2,0.320,NO
833032953,Maroantsetra,2026,2026-06-10,bbe55fe2c5a6449ba0fa7dfab60b8227,59,40,0.153,NO
833032984,Maroantsetra,2026,2026-07-19,df4510c2de764bdc911df2b90464e0c1,18,9,0.321,NO
833033040,Maroantsetra,2026,2026-07-03,2fd42f72f22b488e9b25c07122aec216,7,7,0.187,NO
833033064,Maroantsetra,2026,2026-03-02,aa489bd4847d4af68ebfcb7110304ff4,15,2,0.251,NO
833033095,Maroantsetra,2026,2026-07-09,a2a06d7776b1406988d17925f36f251b,9,0,0.310,NO
833033105,Maroantsetra,2026,2026-07-10,9283423cd2644f93b80c37699dfae83b,20,1,0.317,NO
833033208,Maroantsetra,2026,2026-05-29,7b6fff9dde244b569a37d95f215b2f4b,18,3,0.297,NO
833033246,Maroantsetra,2026,2026-05-29,a682b30408ec4ee0a3fcb05f9ccdcaea,10,5,0.357,NO
897922595,Maroantsetra,2026,2026-06-25,3f0bc9905b5941cea5910cfc96f365a2,9,2,0.297,NO
905251190,Maroantsetra,2026,2026-06-25,d91a37b566624c3b8d7ff22e7970f898,20,3,0.192,NO
905251200,Maroantsetra,2026,2026-06-24,9a5c3511db674ee6905f5ea3843bb673,20,4,0.276,NO
905251217,Maroantsetra,2026,2026-06-24,7ce2cddda83f4969ae49fcc60bb09724,22,1,0.269,NO
905251224,Maroantsetra,2026,2026-06-25,931520362cae464a9711b1cdb0307ae0,26,6,0.194,NO
905251248,Maroantsetra,2026,2026-06-18,a70e3708f72d471fa54503d751b8d9a2,18,3,0.369,NO
905251255,Maroantsetra,2026,2026-06-16,448890d639444848b8c47cf9dd383e4d,19,7,0.278,NO
905251262,Maroantsetra,2026,2026-06-16,07c7fe76818045eaa1585209362c6bc5,16,15,0.207,NO
905251279,Maroantsetra,2026,2026-05-21,8c3adb837c2641ab9766e6fec8637a2d,10,11,0.381,NO
905251286,Maroantsetra,2026,2026-06-18,89386a23d30c4b96aa884106e6d1b378,7,10,0.141,NO
905251293,Maroantsetra,2026,2026-06-17,a168b78473be43e39e503491cdba75b3,10,5,0.279,NO
905251372,Maroantsetra,2026,2026-06-04,6fdbe90d3b80459686b1b43905c72a78,22,2,0.318,NO
905251389,Maroantsetra,2026,2026-06-03,64b09bbf2e55462287fbf2cf4fb11a3b,16,2,0.345,NO
905251396,Maroantsetra,2025,2025-12-15,4f3eda4bdb0d4cfd95642ef48feaf5a9,7,6,0.148,NO
905251396,Maroantsetra,2026,2026-06-03,58c499ee249441c1b4d297bda9c70d05,17,2,0.327,NO
