water_point,site,sheet_year,sheets,first_photo,last_photo,days_covered,days_in_year,fraction_covered
742895759,Fort-Dauphin,2026,1,2026-05-13,2026-05-13,133,365,0.3644
742895814,Fort-Dauphin,2026,3,2025-09-21,2026-05-13,133,365,0.3644
742895821,Fort-Dauphin,2027,1,2026-05-15,2026-05-15,0,365,0.0
742895838,Maroantsetra,2025,2,2026-05-22,2026-07-07,365,365,1.0
742895838,Maroantsetra,2026,4,2026-05-22,2026-07-07,188,365,0.5151
742895876,Maroantsetra,2025,2,2026-02-21,2026-09-02,365,365,1.0
742895876,Maroantsetra,2026,2,2026-02-21,2026-09-02,245,365,0.6712
742895883,Maroantsetra,2026,2,2026-02-09,2026-02-09,40,365,0.1096
742895948,Maroantsetra,2025,1,2025-11-24,2025-11-24,328,365,0.8986
742896004,Maroantsetra,2026,1,2026-05-21,2026-05-21,141,365,0.3863
742896011,Maroantsetra,2026,1,2026-05-21,2026-05-21,141,365,0.3863
742896011,Maroantsetra,2027,1,2026-05-21,2026-05-21,0,365,0.0
742896035,Maroantsetra,2025,2,2025-11-28,2025-11-28,332,365,0.9096
742896231,Maroantsetra,2025,1,2025-10-09,2025-10-09,282,365,0.7726
742896255,Maroantsetra,2024,1,2025-10-10,2025-10-10,366,366,1.0
742896255,Maroantsetra,2025,1,2025-10-10,2025-10-10,283,365,0.7753
742896262,Maroantsetra,2025,1,2025-10-09,2025-10-09,282,365,0.7726
742896286,Maroantsetra,2025,1,2025-10-10,2025-10-10,283,365,0.7753
742896310,Maroantsetra,2024,1,2025-10-08,2025-10-08,366,366,1.0
742896310,Maroantsetra,2025,1,2025-10-08,2025-10-08,281,365,0.7699
742896327,Maroantsetra,2024,1,2025-10-10,2025-10-10,366,366,1.0
742896365,Maroantsetra,2024,1,2025-10-10,2025-10-10,366,366,1.0
742896389,Maroantsetra,2025,1,2025-10-10,2025-10-10,283,365,0.7753
742896413,Maroantsetra,2024,1,2025-10-10,2025-10-10,366,366,1.0
742896413,Maroantsetra,2025,1,2025-10-10,2025-10-10,283,365,0.7753
